date;India;France;US;Germany
2020-01-22;0;0;1;0
2020-01-23;0;0;1;0
2020-01-24;0;2;2;0
2020-01-25;0;3;2;0
2020-01-26;0;3;5;0
2020-01-27;0;3;5;1
2020-01-28;0;4;5;4
2020-01-29;0;5;6;4
2020-01-30;1;5;6;4
2020-01-31;1;5;8;5
2020-02-01;1;6;8;8
2020-02-02;2;6;8;10
2020-02-03;3;6;11;12
2020-02-04;3;6;11;12
2020-02-05;3;6;11;12
2020-02-06;3;6;12;12
2020-02-07;3;6;12;13
2020-02-08;3;11;12;13
2020-02-09;3;11;12;14
2020-02-10;3;11;12;14
2020-02-11;3;11;13;16
2020-02-12;3;11;13;16
2020-02-13;3;11;14;16
2020-02-14;3;11;14;16
2020-02-15;3;12;14;16
2020-02-16;3;12;14;16
2020-02-17;3;12;14;16
2020-02-18;3;12;14;16
2020-02-19;3;12;14;16
2020-02-20;3;12;14;16
2020-02-21;3;12;16;16
2020-02-22;3;12;16;16
2020-02-23;3;12;16;16
2020-02-24;3;12;16;16
2020-02-25;3;14;16;16
2020-02-26;3;18;16;21
2020-02-27;3;38;17;26
2020-02-28;3;57;17;53
2020-02-29;3;100;25;66
2020-03-01;3;130;32;117
2020-03-02;5;191;55;150
2020-03-03;5;212;74;188
2020-03-04;28;288;107;240
2020-03-05;30;426;184;349
2020-03-06;31;616;237;534
2020-03-07;34;948;403;684
2020-03-08;39;1125;519;847
2020-03-09;43;1411;594;1112
2020-03-10;56;1783;782;1296
2020-03-11;62;2293;1147;1567
2020-03-12;73;2293;1586;2369
2020-03-13;82;3681;2219;3062
2020-03-14;102;4496;2978;3795
2020-03-15;113;4532;3212;4838
2020-03-16;119;6683;4679;6012
2020-03-17;142;7715;6512;7156
2020-03-18;156;9124;9169;8198
2020-03-19;194;10970;13663;10999
2020-03-20;244;12758;20030;13957
2020-03-21;330;14463;26025;16662
2020-03-22;396;16761;34944;18610
2020-03-23;499;20120;46096;22672
2020-03-24;536;22372;56714;27436
2020-03-25;657;25331;68841;31554
2020-03-26;727;29252;86662;36508
2020-03-27;887;33045;105253;42288
2020-03-28;987;37693;127417;48582
2020-03-29;1024;40296;143544;52547
2020-03-30;1251;44645;165698;57298
2020-03-31;1397;52281;192079;61913
2020-04-01;1998;57125;223254;67366
2020-04-02;2543;59227;255530;73522
2020-04-03;2567;64452;287931;79696
2020-04-04;3082;47376;319776;85778
2020-04-05;3588;48225;349016;91714
2020-04-06;4778;50884;380798;95391
2020-04-07;5311;47395;410834;99225
2020-04-08;5916;51250;441897;103228
2020-04-09;6725;55034;477507;108202
2020-04-10;7598;56600;511790;113525
2020-04-11;8446;58045;540714;117658
2020-04-12;9205;108792;567022;120479
2020-04-13;10453;111933;594165;123016
2020-04-14;11487;129381;622493;125098
2020-04-15;12322;132588;648390;127584
2020-04-16;13430;145166;678028;130450
2020-04-17;14352;147057;711135;133830
2020-04-18;15722;150861;738464;137439
2020-04-19;17615;151955;763886;139897
2020-04-20;18539;154402;793970;141672
2020-04-21;20080;157068;820045;143457
2020-04-22;21370;158867;849926;145694
2020-04-23;23077;157158;881891;148046
2020-04-24;24530;159969;913856;150383
2020-04-25;26283;161647;944770;152438
2020-04-26;27890;162280;970741;154175
2020-04-27;29451;165966;995391;155193
2020-04-28;31324;169098;1019964;156337
2020-04-29;33062;167643;1046816;157641
2020-04-30;34863;168861;1076518;159119
2020-05-01;37257;169387;1111410;160758
2020-05-02;39699;170179;1138174;161703
2020-05-03;42505;170540;1161907;162496
2020-05-04;46437;171102;1185709;163175
2020-05-05;49400;172219;1209727;163860
2020-05-06;52987;176355;1234209;164807
2020-05-07;56351;177096;1261948;166091
2020-05-08;59695;177627;1289131;167300
2020-05-09;62808;178155;1313585;168551
2020-05-10;67161;178404;1332332;169218
2020-05-11;70768;178719;1351409;169575
2020-05-12;74292;179472;1374790;170508
2020-05-13;78055;179993;1394805;171306
2020-05-14;81997;180635;1420695;172239
2020-05-15;85784;181148;1445546;173152
2020-05-16;90648;181563;1469596;173772
2020-05-17;95698;181703;1488325;174355
2020-05-18;100328;182147;1510633;174697
2020-05-19;106475;182648;1531136;175210
2020-05-20;112028;183129;1553962;176007
2020-05-21;118226;183396;1579114;176752
2020-05-22;124794;184152;1602943;177212
2020-05-23;131423;184698;1623132;177850
2020-05-24;138536;184259;1643306;178281
2020-05-25;144950;184584;1662400;178570
2020-05-26;150793;184839;1681126;179002
2020-05-27;158086;185012;1699889;179364
2020-05-28;165386;188355;1721156;179717
2020-05-29;173491;188949;1746238;180458
2020-05-30;181827;190743;1769318;181196
2020-05-31;190609;190975;1788237;181482
2020-06-01;198370;191382;1806077;181815
2020-06-02;207191;190735;1826167;182028
2020-06-03;216824;187509;1845323;182370
2020-06-04;226713;191869;1873257;182764
2020-06-05;236184;192450;1899697;183271
2020-06-06;246622;193022;1919966;183678
2020-06-07;257486;193363;1937792;183979
2020-06-08;265928;193637;1954692;184193
2020-06-09;276146;194190;1975013;184543
2020-06-10;286605;194815;1996731;184861
2020-06-11;297535;195179;2019009;185416
2020-06-12;308993;195980;2044567;185674
2020-06-13;320922;196477;2068724;186022
2020-06-14;332424;196867;2087625;186269
2020-06-15;343091;197003;2108624;186461
2020-06-16;354065;197666;2133173;186839
2020-06-17;366946;198155;2160223;187184
2020-06-18;380532;198741;2188450;187764
2020-06-19;395048;199528;2219504;188534
2020-06-20;410451;200147;2251330;189135
2020-06-21;425282;200490;2277166;189822
2020-06-22;440215;200632;2306967;190359
2020-06-23;456183;201330;2345696;190862
2020-06-24;473105;201598;2381947;191449
2020-06-25;490401;201853;2421246;192079
2020-06-26;508953;203116;2470292;192556
2020-06-27;528859;203564;2511046;193243
2020-06-28;548318;203157;2553971;193499
2020-06-29;566840;203802;2595266;193761
2020-06-30;585481;204244;2645090;194259
2020-07-01;604641;205234;2694213;194725
2020-07-02;625544;205773;2749156;195228
2020-07-03;648315;206312;2800660;195674
2020-07-04;673165;206670;2846606;196096
2020-07-05;697413;206682;2900334;196335
2020-07-06;719664;207700;2943499;196554
2020-07-07;742417;208154;3000730;196944
2020-07-08;767296;208976;3061036;197341
2020-07-09;793802;209420;3120692;197783
2020-07-10;820916;210135;3189551;198178
2020-07-11;849522;210386;3249990;198556
2020-07-12;878254;210402;3310122;198804
2020-07-13;906752;211825;3369486;198963
2020-07-14;936181;211887;3435148;199375
2020-07-15;968857;212614;3501174;199726
2020-07-16;1003832;213183;3571988;200260
2020-07-17;1039084;214009;3638460;200843
2020-07-18;1077781;214174;3702782;201372
2020-07-19;1118206;214178;3761714;201574
2020-07-20;1155338;216089;3822377;201823
2020-07-21;1193078;216684;3890571;202345
2020-07-22;1238798;217605;3958116;202799
