date;Germany;India;US
2020-01-22;0;0;1
2020-01-23;0;0;1
2020-01-24;0;0;2
2020-01-25;0;0;2
2020-01-26;0;0;5
2020-01-27;1;0;5
2020-01-28;4;0;5
2020-01-29;4;0;6
2020-01-30;4;1;6
2020-01-31;5;1;8
2020-02-01;8;1;8
2020-02-02;10;2;8
2020-02-03;12;3;11
2020-02-04;12;3;11
2020-02-05;12;3;11
2020-02-06;12;3;12
2020-02-07;13;3;12
2020-02-08;13;3;12
2020-02-09;14;3;12
2020-02-10;14;3;12
2020-02-11;16;3;13
2020-02-12;16;3;13
2020-02-13;16;3;14
2020-02-14;16;3;14
2020-02-15;16;3;14
2020-02-16;16;3;14
2020-02-17;16;3;14
2020-02-18;16;3;14
2020-02-19;16;3;14
2020-02-20;16;3;14
2020-02-21;16;3;16
2020-02-22;16;3;16
2020-02-23;16;3;16
2020-02-24;16;3;16
2020-02-25;16;3;16
2020-02-26;21;3;16
2020-02-27;26;3;17
2020-02-28;53;3;17
2020-02-29;66;3;25
2020-03-01;117;3;32
2020-03-02;150;5;55
2020-03-03;188;5;74
2020-03-04;240;28;107
2020-03-05;349;30;184
2020-03-06;534;31;237
2020-03-07;684;34;403
2020-03-08;847;39;519
2020-03-09;1112;43;594
2020-03-10;1296;56;782
2020-03-11;1567;62;1147
2020-03-12;2369;73;1586
2020-03-13;3062;82;2219
2020-03-14;3795;102;2978
2020-03-15;4838;113;3212
2020-03-16;6012;119;4679
2020-03-17;7156;142;6512
2020-03-18;8198;156;9169
2020-03-19;10999;194;13663
2020-03-20;13957;244;20030
2020-03-21;16662;330;26025
2020-03-22;18610;396;34944
2020-03-23;22672;499;46096
2020-03-24;27436;536;56714
2020-03-25;31554;657;68841
2020-03-26;36508;727;86662
2020-03-27;42288;887;105253
2020-03-28;48582;987;127417
2020-03-29;52547;1024;143544
2020-03-30;57298;1251;165698
2020-03-31;61913;1397;192079
2020-04-01;67366;1998;223254
2020-04-02;73522;2543;255530
2020-04-03;79696;2567;287931
2020-04-04;85778;3082;319776
2020-04-05;91714;3588;349016
2020-04-06;95391;4778;380798
2020-04-07;99225;5311;410834
2020-04-08;103228;5916;441897
2020-04-09;108202;6725;477507
2020-04-10;113525;7598;511790
2020-04-11;117658;8446;540714
2020-04-12;120479;9205;567022
2020-04-13;123016;10453;594165
2020-04-14;125098;11487;622493
2020-04-15;127584;12322;648390
